GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04
0500000US48271,48271,"Kinney County, Texas",21083,5673,30846,10486,15088,5217
0500000US48273,48273,"Kleberg County, Texas",20174,1531,24987,2876,16075,1194
0500000US48275,48275,"Knox County, Texas",24426,3827,29461,2409,16604,3066
0500000US48277,48277,"Lamar County, Texas",25932,781,31304,1369,20882,1643
0500000US48279,48279,"Lamb County, Texas",23933,1807,28978,3436,17530,2697
0500000US48281,48281,"Lampasas County, Texas",27069,1519,32012,1625,20604,1823
0500000US48283,48283,"La Salle County, Texas",18010,3221,20385,7051,16870,2198
0500000US48285,48285,"Lavaca County, Texas",26261,1239,31593,1089,21147,1044
0500000US48287,48287,"Lee County, Texas",30646,1686,40490,5496,22495,2552
0500000US48289,48289,"Leon County, Texas",27509,2342,32070,2653,21242,3356
0500000US48291,48291,"Liberty County, Texas",27936,1808,37817,2701,19338,2036
0500000US48293,48293,"Limestone County, Texas",23797,1265,27471,3959,21551,1091
0500000US48295,48295,"Lipscomb County, Texas",29479,2478,34224,4315,21698,2575
0500000US48297,48297,"Live Oak County, Texas",22981,4309,30935,6630,17143,3722
0500000US48299,48299,"Llano County, Texas",25093,2095,30979,2806,21303,2276
0500000US48301,48301,"Loving County, Texas",42656,2956,42734,13369,42500,2800
0500000US48303,48303,"Lubbock County, Texas",22130,456,26542,772,18596,810
0500000US48305,48305,"Lynn County, Texas",26121,1985,29636,3024,21849,2929
0500000US48307,48307,"McCulloch County, Texas",22043,3573,24326,5554,19682,5198
0500000US48309,48309,"McLennan County, Texas",23545,548,28853,1275,19057,551
0500000US48311,48311,"McMullen County, Texas",15969,2755,16464,3417,9808,15356
0500000US48313,48313,"Madison County, Texas",22713,2035,26618,7839,20816,1972
0500000US48315,48315,"Marion County, Texas",22508,2783,29917,4496,16904,1869
0500000US48317,48317,"Martin County, Texas",27279,2899,34688,6541,21700,5395
0500000US48319,48319,"Mason County, Texas",21328,4638,26914,6479,16455,3720
0500000US48321,48321,"Matagorda County, Texas",26797,2256,34452,3811,19369,2209
